IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP58;IP_PROP57;IP_PROP59;IC_GROUP0;IC_GROUP1;IC_GROUP2
1208;О внесении изменения в состав Комитета Верховного Хурала (парламента) Республики Тыва по конституционно-правовой политике и государственному строительству;1208;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1229-ПВХ;/upload/iblock/bda/1229-ПВХ.pdf;;;
1209;О внесении изменения в состав Комитета Верховного Хурала (парламента) Республики Тыва по финансовой, экономической, инвестиционной политике и предпринимательству;1209;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1230-ПВХ;/upload/iblock/a34/1230-ПВХ.pdf;;;
1210;О внесении изменений в Положение о Молодежном Хурале (парламенте) Республики Тыва;1210;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1231-ПВХ;/upload/iblock/c70/1231-ПВХ.pdf;;;
1211;О проекте федерального закона № 51799-7 «О внесении изменений в статью 145 Трудового кодекса Российской Федерации»;1211;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1232-ПВХ;/upload/iblock/79c/1232-ПВХ.pdf;;;
1212;О проекте федерального закона № 61916-7 «О внесении изменений в Федеральный закон «Об объектах культурного наследия (памятниках истории и культуры) народов Российской Федерации» и отдельные законодательные акты Российской Федерации»;1212;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1233-ПВХ;/upload/iblock/283/1233-ПВХ.pdf;;;
1213;О проекте федерального закона № 68586-7 «О внесении изменения в статью 33 Федерального закона «Об обязательном пенсионном страховании в Российской Федерации»;1213;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1234-ПВХ;/upload/iblock/cb9/1234-ПВХ.pdf;;;
1214;О проекте федерального закона № 58940-7 «О внесении изменений в Кодекс Российской Федерации об административных правонарушениях (в части установления административной ответственности должностных лиц заказчика за нарушение срока и порядка оплаты товаров (р;1214;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1235-ПВХ;/upload/iblock/b05/1235-ПВХ.pdf;;;
1215;О проекте федерального закона № 27162-7 «О внесении изменений в статью 8.8 Кодекса Российской Федерации об административных правонарушениях»;1215;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1236-ПВХ;/upload/iblock/b48/1236-ПВХ.pdf;;;
1216;О проекте федерального закона № 13924-7 «О внесении изменения в статью 4.5 Кодекса Российской Федерации об административных правонарушениях»;1216;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1237-ПВХ;/upload/iblock/4ae/1237-ПВХ.pdf;;;
1217;О проекте федерального закона № 41145-7 «О внесении изменения в статью 19.5.1 Кодекса Российской Федерации об административных правонарушениях»;1217;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1238-ПВХ;/upload/iblock/971/1238-ПВХ.pdf;;;
1218;О проекте федерального закона № 42644-7 «О внесении изменений в Кодекс Российской Федерации об административных правонарушениях»;1218;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1239-ПВХ;/upload/iblock/395/1239-ПВХ.pdf;;;
1219;О проекте федерального закона № 43679-7 «О внесении изменений в Кодекс Российской Федерации об административных правонарушениях»;1219;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1240-ПВХ;/upload/iblock/7dd/1240-ПВХ.pdf;;;
1220;О проекте федерального закона № 56124-7 «О внесении изменений в статьи 7 и 38 Закона Российской Федерации «О пенсионном обеспечении лиц, проходивших военную службу, службу в органах внутренних дел, Государствен- ной противопожарной службе, органах по конт;1220;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1241-ПВХ;/upload/iblock/aef/1241-ПВХ.pdf;;;
1221;О проекте федерального закона № 44734-7 «О внесении изменений в статьи 7 и 11 Федерального закона «О свободе совести и о религиозных объединениях» и статью 5.26 Кодекса Российской Федерации об административных правонарушениях»;1221;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1242-ПВХ;/upload/iblock/a36/1242-ПВХ.pdf;;;
1222;Об отчете о деятельности Молодежного Хурала (парламента) Республики Тыва за 2015 и 2016 годы;1222;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1243-ПВХ;/upload/iblock/594/1243-ПВХ.pdf;;;
1223;О проекте закона Республики Тыва «О внесении изменений в Закон Республики Тыва «О республиканском бюджете Республики Тыва на 2016 год»;1223;Y;28.08.2016 20:00:00;;;;text;;;text;;500;;29.09.2016;1024-ПВХ;/upload/iblock/284/1024-ПВХ.pdf;;;
1228;О Законе Республики Тыва «О внесении изменений в Закон Республики Тыва «О республиканском бюджете Республики Тыва на 2016 год»;1228;Y;28.08.2016 20:00:00;;;;text;;;text;;500;;29.08.2016;1025-ПВХ;/upload/iblock/1ed/1025-ПВХ.pdf;;;
